sent_id,sentence,action_label,action_confidence,has_evidence,evidence_strength,washing_risk,topic,evidence_types,nli_label,best_evidence,bank,year
agribank_2023_s615_0,"chính sách và 02 chương trình mục tiêu quốc gia, xây dựng các sản phẩm tín dụng ưu đãi phù hợp với nhiều đối tượng khách hàng, phát triển đa dạng các dịch vụ, kênh phân phối hỗ trợ người dân và doanh nghiệp ở khu vực nông nghiệp, nông thôn, vùng sâu,",Indeterminate,0.95,False,0.0,0.715,S_product,[],contradiction,- Tích cực triển khai nhiều chính sách tín dụng phục vụ phát triển nông nghiệp nông thôn với 07 chương trình tín dụng,agribank,2023
bidv_2020_s486_0,"GIA TĂNG NỀN KHÁCH HÀNG THEO HƯỚNG BỀN VỮNG, PHÙ HỢP MỤC TIÊU VÀ ĐỊNH HƯỚNG CHIẾN LƯỢC CỦA BIDV",Indeterminate,0.76,False,0.0,0.715,S_product,[],contradiction,"TĂNG CƯỜNG CÔNG KHAI, MINH BẠCH TRONG HOẠT ĐỘNG; NÂNG CAO NĂNG LỰC QUẢN TRỊ RỦI RO VÀ CHẤT LƯỢNG, HIỆU QUẢ CÔNG TÁC KIỂM TRA GIÁM SÁT",bidv,2020
bidv_2020_s863_0,"- Đầu tư mua sắm, tự phát triển các ứng dụng, kênh phân phối hiện đại, cung cấp các sản phẩm dịch vụ đa dạng, mang đến trải nghiệm hiện đại, tiên tiến và thuận tiện, an toàn nhất cho khách hàng cá nhân, khách hàng doanh nghiệp và khách hàng định chế ",Indeterminate,0.76,False,0.0,0.715,S_product,[],contradiction,- Nhân sự tại các điểm mạng lưới truyền thống khi tăng cường ứng dụng hệ thống công nghệ thông tin hiện đại trong hoạt động kinh doanh ngân hàng và phát triển các kênh phân phối điện tử.,bidv,2020
bidv_2020_s945_2,"; Thu/Chi hộ Kho bạc NN, Tổng cục thuế...",Indeterminate,0.9,False,0.0,0.715,S_product,[],contradiction,CƠ CẤU TỔ CHỨC CHI NHÁNH BAN GIÁM ĐỐC KHỐI QUẢN LÝ RỦI RO CHI NHÁN BAN GIÁM ĐỐC TỔ CHỨ KHỐI QUẢN LÝ RỦI RO,bidv,2020
bidv_2021_s1512_1,"Các nội dung chỉ đạo, tổ chức triển khai thực hiện tiết kiệm chống lãng phí đều cụ thể về nội dung công việc, tiến độ, mục tiêu, chế độ kiểm tra giám sát và báo cáo đánh giá kết quả thực hiện.",Indeterminate,0.72,False,0.0,0.715,G,[],contradiction,"Kết quả thực hành tiết kiệm, chống lãng 03 phí cụ thể trong các lĩnh vực",bidv,2021
bidv_2021_s1587_7,"| Khách hàng
 Nhân viên 
 Cổ đông, nhà đầu tư
 Nhà cung cấp dịch vụ
 Cơ quan chính phủ
 Cơ quan báo chí |
| | 102-42 | Cơ sở của việc lựa chọn các bên liên quan để 
 thực hiện tham vấn | Sự tham gia của các bên liên quan (Trang 134) |
| | 102-43 | Ph",Indeterminate,0.95,False,0.0,0.715,G,[],contradiction,"| | CỔ ĐÔNG/NHÀ ĐẦU TƯ |
|----|-------------------------------|
| | KHÁCH HÀNG |
| | NGƯỜI LAO ĐỘNG |
| | CƠ QUAN QUẢN LÝ |
| | CỘNG ĐỒNG |
| | CƠ QUAN BÁO CH |
| | ĐỐI TÁC, NHÀ CUNG CẤP DỊCH VỤ |",bidv,2021
bidv_2022_s1377_11,"6 | Công bố chính sách và các thực hành, mô tả cách thức 
 bảo vệ quyền lợi của chủ nợ?",Indeterminate,0.95,False,0.0,0.715,G,[],contradiction,"1 | Công bố chính sách và các thực hành nhằm bảo vệ 
 quyền lợi khách hàng?",bidv,2022
bidv_2022_s1661_0,(Đánh giá Ngân hàng Bền vững 2019 của WWF),Indeterminate,1.0,False,0.0,0.715,E,[],contradiction,Triển khai Hợp đồng Hạn mức tín dụng SUNREF trị giá,bidv,2022
bidv_2022_s2068_7,"56 |
| | 102-12 | Các sáng kiến bên ngoài: Liệt kê các điều khoản, 
 nguyên tắc về kinh tế, môi trường và xã hội được 
 phát triển bên ngoài tổ chức hoặc các sáng kiến 
 khác mà tổ chức tán thành hoặc ủng hộ | Hoạt động kinh doanh hướng đến môi 
 trư",Indeterminate,0.95,False,0.0,0.715,G,[],contradiction,"124) |
| | 102-21 | Tham vấn các bên liên quan về các chủ đề kinh 
 tế, môi trường và xã hội | Tham vấn các bên liên quan (Tr.",bidv,2022
bidv_2022_s2068_11,"110), Đánh giá của BĐH, 
 Thông điệp của Ban lãnh đạo về phát 
 triển bền vững |
| | 102-15 | Các tác động, rủi ro và cơ hội chính | Các rủi ro bên ngoài và bên trong (Tr.",Indeterminate,1.0,False,0.0,0.715,G,[],contradiction,"56)
 Tổng quan báo cáo phát triển bền vững |",bidv,2022
