sent_id,doc_id,bank,year,section_title,sentence,ctx_prev,ctx_next,block_type,final_topic,llm_conf,label_source,gold_topic,annotator_note
vpbank_2021_s1807_1,vpbank_2021,vpbank,2021,Khung quản lý rủi ro,"Để hỗ trợ vai trò giám sát này, HĐQT Ngân hàng ""ã thành lập Hội ""ồng Quản lý Tài sản có/tài sản nợ (""ALCO"") và Ủy ban Quản lý Rủi ro (""RCO""), các hội ""ồng/ủy ban này có trách nhiệm xây dựng và giám sát các chính sách quản lý rủi ro quan trọng theo từng lĩnh vực ""ược HĐQT ủy quyền và ""ịnh kỳ báo cáo lên HĐQT về các hoạt ""ộng của mình.","Hội ""ồng Quản trị (""HĐQT"") Ngân hàng có trách nhiệm chung trong việc thiết lập và giám sát tình hình thực hiện một khuôn khổ quản lý rủi ro thống nhất, ""ồng thời chịu trách nhiệm cuối cùng và cao nhất về chất lượng, hiệu quả quản lý rủi ro của VPB.","Thành viên của các hội ""ồng bao gồm các thành viên có quyền biểu quyết và các thành viên không có quyền biểu quyết.",paragraph,G,1.0,llm_weak_agree,,
shb_2020_s1038_0,shb_2020,shb,2020,CHI PHÍ VẬT LIỆU CỦA SHB,"| Chỉ tiêu | Năm 
 2018 | Năm 
 2019 | Năm 
 2020 |
|-------------|-------|-------|-------|
| Chi phí văn phòng 
 phẩm, giấy in, mực in | 9.370 | 9.945 | 8.292 |
| Chi phí văn phòng 
 phẩm trên 1 lao động 
 trong 1 năm | 1,24 | 1,21 | 1,00 |",,,table_like,E,0.9,llm,,
bsc_2023_s1097_0,bsc_2023,bsc,2023,Quản trị rủi ro tại BSC,BSC thực hiện đo lường giá trị rủi ro thanh toán hàng ngày theo quy định tại Thông tư 91/2020/TT-BTC ngày 13/11/2020 của Bộ Tài chính.,,,paragraph,G,1.0,llm_weak_agree,,
bidv_2020_s362_2,bidv_2020,bidv,2020,TỔ CHỨC VÀ NHÂN SỰ,"Qua đó, BIDV thu hút được đội ngũ ứng viên có chất lượng cao từ khắp mọi miền của cả nước, tạo ấn tượng tốt đối với xã hội nói chung và thí sinh nói riêng, góp phần quảng bá và nâng cao thương hiệu, hình ảnh BIDV trên thị trường.","Đồng thời, tiếp tục thực hiện đổi mới công tác tuyển dụng lao động nhằm tăng cường sức hút trên thị trường lao động, nâng cao hiệu quả công tác tuyển dụng; triển khai ứng dụng phần mềm tuyển dụng và công nghệ thông tin vào các khâu quan trọng của quá trình tuyển dụng, thể hiện tính công khai, minh bạch, thống nhất trong toàn hệ thống.",Các thí sinh được tuyển dụng đảm bảo chất lượng và phù hợp theo yêu cầu của từng địa bàn.,bullet_like,S_labor,0.95,llm,,
vpbank_2023_s2046_2,vpbank_2023,vpbank,2023,Đóng góp kiến tạo giá trị bền vững cho cộng đồng và xã hội,"Theo kết quả thực hiện, 100% CBNV của VPBank (bao gồm cả các nhân viên an ninh) được ghi nhận tham gia đầy đủ các khóa học về quyền con người.",Khóa học về quyền con người được đưa vào chương trình đào tạo bắt buộc nhằm nâng cao nhận thức của toàn hệ thống về các vấn đề quyền con người.,,kpi_like,S_labor,0.95,llm_weak_agree,,
vpbank_2023_s1380_2,vpbank_2023,vpbank,2023,Định hướng hoạt động quan hệ nhà đầu tư,"Qua đó, SMBC sẽ hỗ trợ VPBank nâng cao chất lượng hoạt động quản trị công ty cũng như công tác quan hệ nhà đầu tư để tiệm cận với các tiêu chuẩn quốc tế và tiêu chuẩn của các nước phát triển trong khu vực.","Ban lãnh đạo ngân hàng kỳ vọng, thương vụ với SMBC không chỉ mang lại cho VPBank một nền tảng vốn lớn mà tập đoàn này còn đóng góp vào sự tăng trưởng của VPBank thông qua việc chia sẻ những bí quyết, kinh nghiệm đã tích lũy được trong nhiều năm qua ở nhiều thị trường châu Á.",,paragraph,G,0.95,llm,,
viettinbank_2023_s697_4,viettinbank_2023,viettinbank,2023,Các biện pháp kiểm soát rủi ro trong năm 2023,"Các chỉ số được đo lường giám sát và báo cáo hằng ngày, kịp thời cảnh báo nguy cơ rủi ro phát sinh vượt ngưỡng chấp nhận của VietinBank và có biện pháp xử lý giảm thiểu rủi ro.","- Thiết lập khẩu vị và hạn mức RRTT gồm các chỉ số như: Lãi/lỗ theo giá thị trường, Trạng thái, VaR (Value at Risk), Hạn mức trạng thái/số dư đối với các sản phẩm giao dịch, loại tiền tệ, đối tác thuộc danh mục tự doanh có rủi ro tập trung...",- Phân bổ và kiểm soát mức vốn yêu cầu cho RRTT và backtest các mô hình đo lường rủi ro thị trường để đảm bảo đánh giá chính xác mức độ rủi ro tiềm ẩn.,bullet_like,G,1.0,llm_weak_agree,,
ocb_2023_s820_0,ocb_2023,ocb,2023,Kết quả hoạt động đào tạo,Kết quả hoạt động đào tạo,,,heading_like,S_labor,1.0,llm_weak_agree,,
mbbank_2021_s1312_1,mbbank_2021,mbbank,2021,QUẢN LÝ RỦI RO,"Định hướng cải thiện danh mục đầu tư, cấp tín dụng thông qua phát triển nâng cấp hệ thống quản lý rủi ro môi trường và xã hội trong đánh giá tác động của dự án đến môi trường – xã hội, thẩm định yếu tố rủi ro về môi trường và an sinh xã hội của dự án trước khi cấp tín dụng.",MB thực hiện cấp tín dụng đối với khách hàng kết hợp quản lý rủi ro về môi trường và xã hội trong quá trình xem xét và thẩm định phương án nhằm hạn chế việc tài trợ cho các ngành/lĩnh vực có rủi ro về môi trường và xã hội.,,paragraph,E,0.95,llm,,
techcombank_2021_s2067_0,techcombank_2021,techcombank,2021,3.1 Tuyên bố tuân thủ,"Theo đó, bảng cân đối kế toán hợp nhất, báo cáo kết quả hoạt động kinh doanh hợp nhất, báo cáo lưu chuyển tiền tệ hợp nhất và các thuyết minh báo cáo tài chính hợp nhất được trình bày kèm theo và việc sử dụng báo cáo này không dành cho các đối tượng không được cung cấp các thông tin về các thủ tục, nguyên tắc và thông lệ kế toán tại Việt Nam và hơn nữa không được chủ định trình bày tình hình tài chính hợp nhất, kết quả hoạt động kinh doanh hợp nhất và lưu chuyển tiền tệ hợp nhất theo các nguyên tắc và thông lệ kế toán được chấp nhận rộng rãi ở các nước và lãnh thổ khác ngoài Việt Nam.",,,paragraph,Non_ESG,1.0,llm,,
