sent_id,doc_id,bank,year,section_title,sentence,ctx_prev,ctx_next,block_type,final_topic,llm_conf,label_source,gold_topic,annotator_note
techcombank_2021_s1387_1,techcombank_2021,techcombank,2021,"Nguyên tắc hoạt động, phối hợp giữa BKS với Ban Lãnh đạo ngân hàng","|
| ● | Thực hiện nhiệm vụ khác theo quy định pháp luật và Điều lệ ngân hàng |
| ● | BKS hoạt động theo nguyên tắc độc lập, đồng thời phối hợp chặt chẽ 
 với Ban Lãnh đạo ngân hàng trong công tác quản trị, điều hành hoa
 động ngân hàng nhằm ngăn ngừa, phát hiện và xử lý dứt điểm các tồn 
 tại trong hoạt động, góp phần nâng cao năng lực của hệ thống kiểm 
 soát nội bộ, hoàn thiện các quy định, quy trình, sản phẩm, quản trị rủi ro 
 trong kinh doanh và nâng cao năng lực quản trị điều hành của hệ thống
 HĐQTBLãh đâhàhi hậà hủ độổ hứh |
| ● | HĐQT, Ban Lãnh đạo ngân hàng ghi nhận và chủ động tổ chức, chỉ 
 đạo khắc phục các tồn tại theo kiến nghị của BKS và Kiểm toán nội bộ 
 (KTNB); đồng thời tạo điều kiện để BKS thực hiện nhiệm vụ.","| ● Giám sát việc tuân thủ các quy định Pháp luật và Điều lệ ngân hà
 trong công tác quản trị, điều hành Ngân hàng; | Giám sát việc tuân thủ các quy định Pháp luật và Điều lệ ngân hàng 
 trong công tác quản trị, điều hành Ngân hàng; |
|---|----------------------------------------------------------------------|
| ● | Thực hiện chức năng kiểm toán nội bộ đối với hệ thống ngân hàng và 
 các công ty con, bao gồm xem xét hiệu quả hoạt động của hệ thống 
 kiểm soát nội bộ; |
| ● | Thẩm định báo cáo tài chính 6 tháng đầu năm và hàng năm của ngâ
 hàng; |
| ● | Thực hiện việc kiểm tra, giám sát (nếu có) theo đề nghị của NHNN và
 hoặc của cổ đông/nhóm cổ đông lớn theo quy định pháp luật, Điều lệ 
 ngân hàng.",,table_like,G,0.9,llm_weak_agree,,
bidv_2024_s233_0,bidv_2024,bidv,2024,Tín dụng xanh,BIDV dẫn đầu thị trường về tài trợ các dự án xanh.,,"Tính đến 31/12/2024, dư nợ tín dụng xanh của BIDV đạt 80.870 tỷ đồng.",kpi_like,E,0.9,llm,,
vietcombank_2020_s508_1,vietcombank_2020,vietcombank,2020,Trách nhiệm của kiểm toán viên,Chúng tôi đã thực hiện công việc kiểm toán theo các Chuẩn mực Kiểm toán Việt Nam.,Trách nhiệm của chúng tôi là đưa ra ý kiến về báo cáo tài chính này dựa trên kết quả kiểm toán của chúng tôi.,Các chuẩn mực này yêu cầu chúng tôi tuân thủ chuẩn mực và các quy định về đạo đức nghề nghiệp và lập kế hoạch và thực hiện cuộc kiểm toán để đạt được sự đảm bảo hợp lý về việc liệu báo cáo tài chính có còn sai sót trọng yếu hay không.,paragraph,G,0.9,llm_weak_agree,,
vpbank_2023_s2071_1,vpbank_2023,vpbank,2023,Chế độ lương thưởng được đánh giá dựa trên hiệu quả làm việc,VPBank tuân thủ các quy định pháp luật về mức lương tối thiểu theo vùng địa lý được quy định bởi Chính phủ căn cứ trên chỉ số giá tiêu dùng tại mỗi thời kỳ.,"VPBank áp dụng chính sách chi trả thù lao cạnh tranh với thị trường theo nhóm tính chất công việc, cấp bậc, hiệu quả làm việc và năng lực của CBNV.","Hàng năm, VPBank mua khảo sát về đãi ngộ của thị trường để nắm bắt thông tin và đề xuất với Uỷ ban Nhân sự rà soát và quyết định mức thù lao, đãi ngộ.",kpi_like,S_labor,0.9,llm,,
vpbank_2022_s3607_7,vpbank_2022,vpbank,2022,GRI 203. TÁC ĐỘNG KINH TẾ GIÁN TIẾP,"| VPBank căn cứ vào tính chất & tác động của sự thay đổi 
 để quyết định thời gian thông báo phù hợp cho CBNV để
 hạn chế thấp nhất ảnh hưởng tới CBNV và đảm bảo tuân 
 thủ các quy định pháp luật.","|
| 401-3 | Nghỉ thai sản | Số lượng cán bộ nghỉ thai sản theo giới tính | 80 |
| | | | |
| 402-1 | Thời hạn thông báo tối thiểu về những 
 thay đổi trong hoạt động | VPBank căn cứ vào tính chất & tác động của sự thay đổi 
 để quyết định thời gian thông báo phù hợp cho CBNV để
 hạn chế thấp nhất ảnh hưởng tới CBNV và đảm bảo tuân 
 thủ các quy định pháp luật.","|
| GRI 403.",table_like,S_labor,0.9,llm_weak_agree,,
viettinbank_2024_s2803_0,viettinbank_2024,viettinbank,2024,Hạch toán doanh thu phải thu nhưng không thu ­ược,Hạch toán doanh thu phải thu nhưng không thu ­ược,,,heading_like,G,0.8,llm,,
viettinbank_2024_s1632_3,viettinbank_2024,viettinbank,2024,ĐÁNH GIÁ CɔA T9 HĐQT .O-I IRIGUCHI ƣ ĐȴI 'IʂN CɌ ĐÔNG CHIɼN /ȲɐC MU)G %AN.,"Chúng tôi tin tưởng mạnh mẽ rằng những nỗ lực này sẽ góp phần nâng cao hình ảnh về một VietinBank năng động, chuyên nghiệp, minh bạch trong mắt cộng đồng khách hàng, NĐT và xã hội.","Các tài liệu trọng yếu của Ngân hàng như: CBTT, BCTN, tài liệu cập nhật kết quả kinh doanh, điểm tin BCTC, bộ tài liệu phục vụ ĐHĐCĐ luôn được thực hiện song ngữ Việt - Anh để các cổ đông, NĐT đều có cơ hội bình đẳng trong việc tiếp cận thông tin và thực hiện các quyền lợi, nghĩa vụ liên quan theo quy định của pháp luật.",,paragraph,G,0.8,llm_weak_agree,,
vietcombank_2023_s1157_1,vietcombank_2023,vietcombank,2023,"Không phân biệt đối xử, sử dụng lao động tre em, lao động cưỡng bức, ép buộc","Được thành lập từ tháng 05 năm 2005, Ban Vì sự tiến bộ của phụ nữ Vietcombank đã thực hiện tốt vai trò tham mưu cho Ban Lãnh đạo trong việc đưa yếu tố giới vào công tác quản trị, điều hành; lồng ghép vấn đề bình đẳng giới trong xây dựng, thực hiện các văn bản chính sách, chiến lược, chương trình, kế hoạch phát triển của Vietcombank.","Vietcombank luôn đảm bảo sự minh bạch, rõ ràng, không có sự phân biệt đối xử về dân tộc, tôn giáo, giới tính trong tổ chức.","Đến ngày 31/12/2023, Vietcombank có 127 Ban Vì sự tiến bộ của phụ nữ cấp cơ sở.",paragraph,S_labor,0.9,llm_weak_agree,,
agribank_2024_s757_2,agribank_2024,agribank,2024,03. Dấu ấn của Agribank trong hành trình phát triển bền vững,"- Đạt giải đặc biệt tại Hội thi ""Ngân hàng xanh cho cuộc sống xanh"" do Công đoàn Ngân hàng Việt Nam lần đầu tiên tổ chức trên phạm vi toàn ngành, cho thấy nỗ lực mạnh mẽ của Agribank trong hành trình nâng cao nhận thức của người lao động đối với phát triển xanh, bền vững.","- Triển khai chương trình cho vay ""tín dụng xanh"" ưu đãi dành cho khách hàng cá nhân với quy mô 10.000 tỷ đồng với sàn lãi suất cho vay chỉ từ 3,5%/năm.","- Đóng góp gần 700 tỷ đồng cho các hoạt động an sinh xã hội, hỗ trợ cộng đồng thuộc các lĩnh vực giáo dục, y tế, hỗ trợ người nghèo, phòng chống thiên tai...",bullet_like,E,0.9,llm,,
bsc_2024_s50_1,bsc_2024,bsc,2024,"Kính gửi Quý Khách hàng, Đối tác và Cổ đông","Kết thúc năm 2024, BSC ghi nhận lợi nhuận trước thuế 515,7 tỷ đồng; Tổng tài sản đạt 10.315 tỷ đồng, tăng 24% so với cùng kỳ; Vốn chủ sở hữu đạt 5.062 tỷ đồng, tăng 8% so với năm 2023.","Trải qua năm 2024 với những thuận lợi và thách thức đan xen, hoạt động kinh doanh của BSC vẫn gặt hái được những kết quả tích cực, kiểm soát tốt rủi ro và đạt được điểm sáng trên nhiều khía cạnh.",BSC luôn tuân thủ các quy định của pháp luật và đảm bảo các giới hạn trong mọi hoạt động kinh doanh.,kpi_like,Non_ESG,1.0,llm,,
agribank_2023_s592_2,agribank_2023,agribank,2023,Quy trình đánh giá rủi ro môi trường của Agribank,"Các đề xuất cấp tín dụng thuộc đối tượng phải thực hiện đánh giá rủi ro môi trường đều được sàng lọc nhằm nhận diện, phân loại mức độ rủi ro về môi trường, từ đó xác định các biện pháp quản lý rủi ro môi trường phù hợp với mức độ rủi ro đã nhận diện.","Quy định 1289 nêu rõ đối tượng phải thực hiện đánh giá rủi ro môi trường là các khoản cấp tín dụng đối với dự án đầu tư quy định tại Phụ lục III, IV, V ban hành kèm theo Nghị định 08/2022/NĐ-CP và do khách hàng vay vốn làm chủ đầu tư.",,paragraph,E,0.9,llm_weak_agree,,
bidv_2021_s1501_2,bidv_2021,bidv,2021,CHƯƠNG TRÌNH QUÀ TẾT DÀNH CHO NGƯỜI NGHÈO,"Hiệu quả từ các chương trình an sinh xã hội của BIDV qua từng năm nhận được sự đánh giá cao và ghi nhận tích cực từ các cơ quan quản lý, các địa phương, các tổ chức xã hội và người thụ hưởng.","Chương trình an sinh xã hội đã góp phần xây dựng và bồi đắp Uy tín, Thương hiệu BIDV vì cộng đồng, được nhân dân ghi nhận.","Các chương trình ASXH của BIDV cũng nhận được sự ủng hộ, tham gia của đối tác, khách hàng, công chúng, lan tỏa sâu rộng đến cộng đồng xã hội.",paragraph,S_community,0.9,llm_weak_agree,,
techcombank_2024_s1424_6,techcombank_2024,techcombank,2024,Các Nghị quyết Ban Kiểm soát ban hành trong năm 2024 – Họp trực tiếp,"♦ Xem xét, thông qua việc sửa đổi, bổ sung và ban hành các văn bản nội bộ.","♦ Xem xét, thông qua việc điều chỉnh kế hoạch KTNB năm 2024.","|
| 4 | 04/2023/NQBKS | 17/09/2024 | ♦ Xem xét và thông qua kết quả hoạt động kiểm toán của KTNB trong Quý III/2024.",table_like,G,0.9,llm,,
techcombank_2023_s108_0,techcombank_2023,techcombank,2023,Techcombank tiếp tục có những bước tiến mạnh mẽ trong việc phát triển và giữ chân nhân tài.,"Hai tòa nhà hội sở mới của Ngân hàng đã mang đến cho nhân viên một không gian làm việc đầy tự hào, nhưng quan trọng hơn là môt trường làm việc bao gồm những cơ hội công bằng, minh bạch trong truyền thông, cơ chế tưởng thưởng và các phúc lợi khác nằm hỗ trợ và thúc đẩy tối đa phát triển nghề nghiệp cho cán bộ nhân viên.",,,paragraph,S_labor,0.9,llm_weak_agree,,
shb_2023_s404_0,shb_2023,shb,2023,KHỐI KIỂM TOÁN NỘI BỘ,Trung tâm Kiểm toán hoạt ộng nghiệp vụ,,,paragraph,G,0.8,llm_weak_agree,,
